date,D. acuminata,D. acuta,D. norvegica
2013-02-04,0,0,0
2013-02-11,0,0,0
2013-02-18,0,0,0
2013-02-25,0,0,0
2013-03-04,0,0,0
2013-03-11,0,0,0
2013-03-18,0,0,0
2013-04-02,0,0,0
2013-04-08,0,0,0
2013-04-15,0,0,0
2013-04-22,0,0,0
2013-04-29,0,0,0
2013-05-06,0,0,0
2013-05-13,0,0,0
2013-05-21,0,0,0
2013-05-27,0,0,0
2013-06-03,0,0,0
2013-06-10,0,0,0
2013-06-17,0,0,0
2013-06-24,0,0,0
2013-07-01,0,0,0
2013-07-08,0,0,0
2013-07-15,0,0,0
2013-07-22,0,0,40
2013-07-29,0,0,0
2013-08-05,80,0,0
2013-08-12,0,0,0
2013-08-19,0,0,0
2013-08-26,0,0,0
2013-09-02,0,0,0
2013-09-09,0,0,0
2013-09-16,40,0,80
2013-09-23,0,0,0
2013-09-30,0,0,0
2013-10-07,0,0,0
2013-10-14,0,0,0
2013-10-21,0,0,0
2013-10-28,0,0,0
2013-11-04,0,0,0
2013-11-11,0,0,0
2013-11-17,0,0,0
2013-11-25,0,0,0
2014-02-10,0,0,0
2014-02-17,0,0,0
2014-02-24,0,0,0
2014-03-03,0,0,0
2014-03-10,0,0,0
2014-03-17,0,0,0
2014-03-24,0,0,0
2014-03-31,0,0,0
2014-04-07,0,0,40
2014-04-28,0,0,200
2014-05-05,0,0,0
2014-05-12,0,0,0
2014-05-19,0,0,0
2014-05-26,0,0,0
2014-06-02,0,0,0
2014-06-10,0,0,0
2014-06-16,0,0,0
2014-06-23,0,0,0
2014-06-30,0,0,0
2014-07-07,0,0,0
2014-07-14,0,0,0
2014-07-21,0,0,0
2014-07-28,0,0,0
2014-08-04,0,0,40
2014-08-11,40,0,80
2014-08-18,40,0,0
2014-08-25,0,0,0
2014-09-01,0,0,0
2014-09-08,160,0,0
2014-09-15,0,0,0
2014-09-22,0,0,0
2014-09-29,40,0,0
2014-10-06,0,0,0
2014-10-13,0,0,0
2014-10-20,0,0,0
2014-10-27,0,0,0
2014-11-03,0,0,0
2014-11-10,0,0,0
